#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3189	5925	1523	111860	107903	RP11-174I10.1	-	RB1	CUX1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	Two-hybrid	physical	Gupta S (2003)	12891711	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
9947	4176	5925	110344	111860	-	RP11-174I10.1	MCM7	RB1	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Two-hybrid	physical	Sterner JM (1998)	9566894	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
14200	26959	5925	117927	111860	-	RP11-174I10.1	HBP1	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Two-hybrid	physical	Lavender P (1997)	9178770	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
14212	5925	10131	111860	115435	RP11-174I10.1	-	RB1	TRAP1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	HSP 75|HSP75|HSP90L|TRAP-1	Two-hybrid	physical	Chen CF (1996)	8756626	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
14252	26574	5925	117743	111860	HSPC277	RP11-174I10.1	AATF	RB1	BFR2|CHE-1|CHE1|DED	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Two-hybrid	physical	Bruno T (2002)	12450794	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
14267	5925	9984	111860	115305	RP11-174I10.1	-	RB1	THOC1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	HPR1|P84|P84N5	Two-hybrid	physical	Durfee T (1994)	7525595	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
240139	286826	5925	130420	111860	-	RP11-174I10.1	LIN9	RB1	BARA|BARPsv|Lin-9|TGS|TGS1|TGS2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Gagrica S (2004)	15538385	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
240140	286826	5925	130420	111860	-	RP11-174I10.1	LIN9	RB1	BARA|BARPsv|Lin-9|TGS|TGS1|TGS2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Gagrica S (2004)	15538385	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
243966	672	5925	107140	111860	-	RP11-174I10.1	BRCA1	RB1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Aprelikova ON (1999)	10518542	9606	9606	Low Throughput	-	-	-	BRCA1 protein complexes with the hypophosphorylated form of pRb. This binding is localized to amino acids 304-394 of BRCA1 protein and requires the ABC domain of pRb	-	BIOGRID
244032	25	5925	106543	111860	RP11-83J21.1	RP11-174I10.1	ABL1	RB1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Miyamura T (1997)	9071815	9606	9606	Low Throughput	-	-	-	c-ABL and BCR-ABL associated with both phosphorylated and nonphosphorylated forms of pRB	-	BIOGRID
