plate	position	well	score	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	GeneID	Entrez_gene_ID
1	253	K13	1.9	sample	sample	3139870	3213020	3345480	3213020	3232790	1.41	1.47	1.64	0.494	0.554	0.715	MAPK7	5598
1	56	C08	1.81	sample	sample	3102650	3153610	3063620	3102650	3106626.66666667	1.39	1.44	1.5	0.477	0.527	0.588	EPHA5	2044
1	203	I11	1.74	sample	sample	3132850	3264360	2968940	3132850	3122050	1.41	1.49	1.46	0.491	0.577	0.543	C7ORF2	64327
1	213	I21	1.6	sample	sample	2902540	3034820	2877630	2902540	2938330	1.3	1.39	1.41	0.38	0.472	0.498	ROCK1	6093
1	129	F09	1.57	sample	sample	2902970	3039640	2857730	2902970	2933446.66666667	1.3	1.39	1.4	0.381	0.474	0.488	MAPK9	5601
1	151	G07	1.54	sample	sample	2736820	3009860	2840740	2840740	2862473.33333333	1.23	1.38	1.39	0.296	0.46	0.479	LRRK2	120892
1	210	I18	1.52	sample	sample	2902150	3074030	2830080	2902150	2935420	1.3	1.4	1.39	0.38	0.49	0.474	GOLGA5	9950
1	221	J05	1.52	sample	sample	3053120	3056630	2762660	3053120	2957470	1.37	1.4	1.36	0.453	0.482	0.439	PIP5K2A	5305
2	65	C17	1.51	sample	sample	3535030	3402720	2968000	3402720	3301916.66666667	1.37	1.41	1.32	0.449	0.496	0.401	HK3	3101
1	6	A06	1.5	sample	sample	3038840	2896770	2890800	2896770	2942136.66666667	1.36	1.32	1.42	0.447	0.404	0.504	KIAA1804	84451
2	85	D13	1.49	sample	sample	3461150	3313720	3102260	3313720	3292376.66666667	1.34	1.37	1.38	0.419	0.458	0.465	MAPK13	5603
1	226	J10	1.48	sample	sample	3030120	3017260	2704270	3017260	2917216.66666667	1.36	1.38	1.33	0.443	0.463	0.408	ACVR2	92
2	116	E20	1.47	sample	sample	3419230	3293700	3085640	3293700	3266190	1.32	1.36	1.37	0.401	0.449	0.457	MAP3K4	4216
1	106	E10	1.46	sample	sample	2938220	2968180	2795180	2938220	2900526.66666667	1.32	1.36	1.37	0.398	0.44	0.456	NME5	8382
1	249	K09	1.45	sample	sample	3008400	3098510	2754720	3008400	2953876.66666667	1.35	1.42	1.35	0.432	0.502	0.435	CKS2	1164
1	234	J18	1.43	sample	sample	2873250	2920960	2979260	2920960	2924490	1.29	1.33	1.46	0.366	0.416	0.548	CAMKK1	84254
1	135	F15	1.42	sample	sample	2709510	2914680	2774270	2774270	2799486.66666667	1.22	1.33	1.36	0.281	0.413	0.445	AXL	558
1	158	G14	1.41	sample	sample	2982870	2826830	2846210	2846210	2885303.33333333	1.34	1.29	1.4	0.42	0.369	0.482	SNF1LK	150094
1	146	G02	1.35	sicon2	sicon2	3109290	2875940	2582580	2875940	2855936.66666667	1.39	1.31	1.27	0.48	0.394	0.342	NA	NA
1	63	C15	1.34	sample	sample	2835160	2867860	2719760	2835160	2807593.33333333	1.27	1.31	1.33	0.347	0.39	0.416	BRD3	8019
1	300	M12	1.31	sample	sample	2980850	2792160	2705090	2792160	2826033.33333333	1.34	1.28	1.33	0.419	0.351	0.408	TNNI3K	51086
1	55	C07	1.3	sample	sample	2872140	2845960	2772890	2845960	2830330	1.29	1.3	1.36	0.365	0.379	0.444	PAPSS1	9061
2	198	I06	1.29	sample	sample	3383130	3168410	2825640	3168410	3125726.66666667	1.31	1.31	1.26	0.386	0.393	0.33	CLK2	1196
1	207	I15	1.29	sample	sample	2912890	2762160	2738240	2762160	2804430	1.31	1.26	1.34	0.386	0.336	0.426	MAP4K4	9448
1	242	K02	1.29	allstar	allstar	2912580	2952590	2432140	2912580	2765770	1.31	1.35	1.19	0.385	0.432	0.255	NA	NA
1	27	B03	1.29	sample	sample	2849320	2839280	2777710	2839280	2822103.33333333	1.28	1.3	1.36	0.354	0.376	0.447	MAP3K2	10746
2	274	L10	1.28	sample	sample	3429180	3126850	2824220	3126850	3126750	1.32	1.3	1.26	0.406	0.374	0.329	JAK1	3716
2	182	H14	1.28	sample	sample	3372770	3129240	2863410	3129240	3121806.66666667	1.3	1.3	1.27	0.382	0.375	0.349	GUCY2C	2984
2	157	G13	1.27	sample	sample	3250230	3328400	2957470	3250230	3178700	1.26	1.38	1.32	0.328	0.464	0.396	DGKI	9162
1	218	J02	1.26	allstar	allstar	2740420	2925160	2674750	2740420	2780110	1.23	1.34	1.31	0.298	0.419	0.392	NA	NA
1	215	I23	1.26	allstar	allstar	2790210	2820870	2692210	2790210	2767763.33333333	1.25	1.29	1.32	0.324	0.366	0.402	NA	NA
2	55	C07	1.25	sample	sample	3351290	3192450	2890310	3192450	3144683.33333333	1.29	1.32	1.29	0.372	0.404	0.363	HRI	27102
3	9	A09	1.24	sample	sample	3945050	3216460	3099370	3216460	3420293.33333333	1.36	1.19	1.31	0.448	0.256	0.386	RP6-213H19.1	51765
2	103	E07	1.24	sample	sample	3571270	3097580	2875550	3097580	3181466.66666667	1.38	1.28	1.28	0.464	0.36	0.355	EPHA2	1969
1	250	K10	1.22	sample	sample	2856640	2925390	2653090	2856640	2811706.66666667	1.28	1.34	1.3	0.357	0.419	0.38	URKL1	54963
1	225	J09	1.22	sample	sample	2775400	3186980	2651080	2775400	2871153.33333333	1.24	1.46	1.3	0.316	0.542	0.379	FASTK	10922
2	76	D04	1.22	sample	sample	3330050	3173380	2920670	3173380	3141366.66666667	1.29	1.32	1.3	0.363	0.395	0.378	TGFBR3	7049
3	161	G17	1.21	sample	sample	3716790	3447580	3012640	3447580	3392336.66666667	1.29	1.28	1.27	0.362	0.356	0.346	CHKB	1120
2	186	H18	1.21	sample	sample	3298660	3173960	2919090	3173960	3130570	1.27	1.32	1.3	0.35	0.395	0.377	VRK3	51231
