Plate	Well	GeneID	Entrez_gene_ID
1	A01		
1	A02		
1	A03	TTK	7272
1	A04	PIK3CA	5290
1	A05	SYK	6850
1	A06	KIAA1804	84451
1	A07	EPHA8	2046
1	A08	NAGK	55577
1	A09	DMPK	1760
1	A10	IRAK1	3654
1	A11	COASY	80347
1	A12	EEF2K	29904
1	A13	MYO3B	140469
1	A14	ANKK1	255239
1	A15	PRKWNK2	65268
1	A16	MAP3K5	4217
1	A17	PTK2	5747
1	A18	PRKAA1	5562
1	A19	FER	2241
1	A20	RPS6KA4	8986
1	A21	CAMK2B	816
1	A22	CALM1	801
1	A23		
1	A24		
1	B01		
1	B02		
1	B03	MAP3K2	10746
1	B04	STK31	56164
1	B05	LATS2	26524
1	B06	AKT3	10000
1	B07	P101-PI3K	23533
1	B08	NLK	51701
1	B09	DGKG	1608
1	B10	PFKFB3	5209
1	B11	MAST3	23031
1	B12	TESK2	10420
1	B13	EFNA3	1944
1	B14	EPHA7	2045
1	B15	BCKDK	10295
1	B16	STK35	140901
1	B17	ITPKA	3706
1	B18	STK11	6794
1	B19	NEK6	10783
1	B20	JAK2	3717
1	B21	BLK	640
1	B22	BRD2	6046
1	B23		
1	B24		
1	C01		
1	C02		
1	C03	ACVRL1	94
1	C04	FLJ32685	152110
1	C05	LYN	4067
1	C06	ITPKC	80271
1	C07	PAPSS1	9061
1	C08	EPHA5	2044
1	C09	MAPK4	5596
1	C10	MLCK	91807
1	C11	MASTL	84930
1	C12	PSKH1	5681
1	C13	TRIB1	10221
1	C14	AURKC	6795
1	C15	BRD3	8019
1	C16	PRKCE	5581
1	C17	FLJ34389	197259
1	C18	AK1	203
1	C19	HK1	3098
1	C20	TRPM6	140803
1	C21	THNSL1	79896
1	C22	CLK1	1195
1	C23		
1	C24		
1	D01		
1	D02		
1	D03	DGKK	139189
1	D04	CDKN2C	1031
1	D05	MPP2	4355
1	D06	MAP2K3	5606
1	D07	BUB1	699
1	D08	LCK	3932
1	D09	UHMK1	127933
1	D10	CIB2	10518
1	D11	PRKCM	5587
1	D12	AAK1	22848
1	D13	PIK4CB	5298
1	D14	PIK3R2	5296
1	D15	DLG4	1742
1	D16	IRAK2	3656
1	D17	BTK	695
1	D18	ACVR1C	130399
1	D19	MAP3K15	389840
1	D20	ACVR1B	91
1	D21	GSK3A	2931
1	D22	CPNE3	8895
1	D23		
1	D24		
1	E01		
1	E02		
1	E03	ALS2CR2	55437
1	E04	PAPSS2	9060
1	E05	CARKL	23729
1	E06	RPS6KB2	6199
1	E07	ADK	132
1	E08	PFTK1	5218
1	E09	ABL2	27
1	E10	NME5	8382
1	E11	PLK1	5347
1	E12	SRC	6714
1	E13	MINK	50488
1	E14	NEK4	6787
1	E15	CDKL3	51265
1	E16	CSNK1G1	53944
1	E17	MAP3K14	9020
1	E18	RIOK1	83732
1	E19	MAP3K7	6885
1	E20	AKT1	207
1	E21	CKB	1152
1	E22	SNRK	54861
1	E23		
1	E24		
1	F01		
1	F02		
1	F03	CSNK1E	1454
1	F04	CAMK1	8536
1	F05	RELA	5970
1	F06	MARK3	4140
1	F07	CCRK	23552
1	F08	MGC42105	167359
1	F09	MAPK9	5601
1	F10	CHEK1	1111
1	F11	TNK2	10188
1	F12	SCAP1	8631
1	F13	PDIK1L	149420
1	F14	CDC2L2	728642
1	F15	AXL	558
1	F16	STK3	6788
1	F17	ANKRD3	54101
1	F18	FLT4	2324
1	F19	RIPK1	8737
1	F20	CDC2L1	984
1	F21	CDC42BPB	9578
1	F22	MAP2K7	5609
1	F23		
1	F24		
1	G01		
1	G02		
1	G03	CDC2	983
1	G04	KIAA1811	84446
1	G05	PIM2	11040
1	G06	PDK2	5164
1	G07	LRRK2	120892
1	G08	MYLK2	85366
1	G09	HK2	3099
1	G10	NEK11	79858
1	G11	FN3K	64122
1	G12	KIAA1361	57551
1	G13	CRIM1	51232
1	G14	SNF1LK	150094
1	G15	PIK4CA	5297
1	G16	PTK9	5756
1	G17	SSTK	83983
1	G18	LATS1	9113
1	G19	TAO1	9344
1	G20	PFKP	5214
1	G21	NME3	4832
1	G22	PRKG1	5592
1	G23		
1	G24		
1	H01		
1	H02		
