Plate	Well	Flag	Comment
1	A01	NA	this is a comment
1	B01	NA	this is a comment
1	C01	NA	this is a comment
1	D01	NA	this is a comment
1	E01	NA	this is a comment
1	F01	NA	this is a comment
1	G01	NA	this is a comment
1	H01	NA	this is a comment
1	I01	NA	this is a comment
1	J01	NA	this is a comment
1	K01	NA	this is a comment
1	L01	NA	this is a comment
1	M01	NA	this is a comment
1	N01	NA	this is a comment
1	O01	NA	this is a comment
1	P01	NA	this is a comment
1	A02	NA	this is a comment
1	B02	NA	this is a comment
1	C02	NA	this is a comment
1	D02	NA	this is a comment
1	E02	NA	this is a comment
1	F02	NA	this is a comment
1	G02	NA	this is a comment
1	H02	NA	this is a comment
1	I02	NA	this is a comment
1	J02	NA	this is a comment
1	K02	NA	this is a comment
1	L02	NA	this is a comment
1	M02	NA	this is a comment
1	N02	NA	this is a comment
1	O02	NA	this is a comment
1	P02	NA	this is a comment
1	A03	NA	this is a comment
1	B03	NA	this is a comment
1	C03	NA	this is a comment
1	D03	NA	this is a comment
1	E03	NA	this is a comment
1	F03	NA	this is a comment
1	G03	NA	this is a comment
1	H03	NA	this is a comment
1	I03	NA	this is a comment
1	J03	NA	this is a comment
1	K03	NA	this is a comment
1	L03	NA	this is a comment
1	M03	NA	this is a comment
1	N03	NA	this is a comment
1	O03	NA	this is a comment
1	P03	NA	this is a comment
1	A04	NA	this is a comment
1	B04	NA	this is a comment
1	C04	NA	this is a comment
1	D04	NA	this is a comment
1	E04	NA	this is a comment
1	F04	NA	this is a comment
1	G04	NA	this is a comment
1	H04	NA	this is a comment
1	I04	NA	this is a comment
1	J04	NA	this is a comment
1	K04	NA	this is a comment
1	L04	NA	this is a comment
1	M04	NA	this is a comment
1	N04	NA	this is a comment
1	O04	NA	this is a comment
1	P04	NA	this is a comment
1	A05	NA	this is a comment
1	B05	NA	this is a comment
1	C05	NA	this is a comment
1	D05	NA	this is a comment
1	E05	NA	this is a comment
1	F05	NA	this is a comment
1	G05	NA	this is a comment
1	H05	NA	this is a comment
1	I05	NA	this is a comment
1	J05	NA	this is a comment
1	K05	NA	this is a comment
1	L05	NA	this is a comment
1	M05	NA	this is a comment
1	N05	NA	this is a comment
1	O05	NA	this is a comment
1	P05	NA	this is a comment
1	A06	NA	this is a comment
1	B06	NA	this is a comment
1	C06	NA	this is a comment
1	D06	NA	this is a comment
1	E06	NA	this is a comment
1	F06	NA	this is a comment
1	G06	NA	this is a comment
1	H06	NA	this is a comment
1	I06	NA	this is a comment
1	J06	NA	this is a comment
1	K06	NA	this is a comment
1	L06	NA	this is a comment
1	M06	NA	this is a comment
1	N06	NA	this is a comment
1	O06	NA	this is a comment
1	P06	NA	this is a comment
1	A07	NA	this is a comment
1	B07	NA	this is a comment
1	C07	NA	this is a comment
1	D07	NA	this is a comment
1	E07	NA	this is a comment
1	F07	NA	this is a comment
1	G07	NA	this is a comment
1	H07	NA	this is a comment
1	I07	NA	this is a comment
1	J07	NA	this is a comment
1	K07	NA	this is a comment
1	L07	NA	this is a comment
1	M07	NA	this is a comment
1	N07	NA	this is a comment
1	O07	NA	this is a comment
1	P07	NA	this is a comment
1	A08	NA	this is a comment
1	B08	NA	this is a comment
1	C08	NA	this is a comment
1	D08	NA	this is a comment
1	E08	NA	this is a comment
1	F08	NA	this is a comment
1	G08	NA	this is a comment
1	H08	NA	this is a comment
1	I08	NA	this is a comment
1	J08	NA	this is a comment
1	K08	NA	this is a comment
1	L08	NA	this is a comment
1	M08	NA	this is a comment
1	N08	NA	this is a comment
1	O08	NA	this is a comment
1	P08	NA	this is a comment
1	A09	NA	this is a comment
1	B09	NA	this is a comment
1	C09	NA	this is a comment
1	D09	NA	this is a comment
1	E09	NA	this is a comment
1	F09	NA	this is a comment
1	G09	NA	this is a comment
1	H09	NA	this is a comment
1	I09	NA	this is a comment
1	J09	NA	this is a comment
1	K09	NA	this is a comment
1	L09	NA	this is a comment
1	M09	NA	this is a comment
1	N09	NA	this is a comment
1	O09	NA	this is a comment
1	P09	NA	this is a comment
1	A10	NA	this is a comment
1	B10	NA	this is a comment
1	C10	NA	this is a comment
1	D10	NA	this is a comment
1	E10	NA	this is a comment
1	F10	NA	this is a comment
1	G10	NA	this is a comment
1	H10	NA	this is a comment
1	I10	NA	this is a comment
1	J10	NA	this is a comment
1	K10	NA	this is a comment
1	L10	NA	this is a comment
1	M10	NA	this is a comment
1	N10	NA	this is a comment
1	O10	NA	this is a comment
1	P10	NA	this is a comment
1	A11	NA	this is a comment
1	B11	NA	this is a comment
1	C11	NA	this is a comment
1	D11	NA	this is a comment
1	E11	NA	this is a comment
1	F11	NA	this is a comment
1	G11	NA	this is a comment
1	H11	NA	this is a comment
1	I11	NA	this is a comment
1	J11	NA	this is a comment
1	K11	NA	this is a comment
1	L11	NA	this is a comment
1	M11	NA	this is a comment
1	N11	NA	this is a comment
1	O11	NA	this is a comment
1	P11	NA	this is a comment
1	A12	NA	this is a comment
1	B12	NA	this is a comment
1	C12	NA	this is a comment
1	D12	NA	this is a comment
1	E12	NA	this is a comment
1	F12	NA	this is a comment
1	G12	NA	this is a comment
1	H12	NA	this is a comment
1	I12	NA	this is a comment
1	J12	NA	this is a comment
1	K12	NA	this is a comment
1	L12	NA	this is a comment
1	M12	NA	this is a comment
1	N12	NA	this is a comment
1	O12	NA	this is a comment
1	P12	NA	this is a comment
1	A13	NA	this is a comment
1	B13	NA	this is a comment
1	C13	NA	this is a comment
1	D13	NA	this is a comment
1	E13	NA	this is a comment
1	F13	NA	this is a comment
1	G13	NA	this is a comment
1	H13	NA	this is a comment
1	I13	NA	this is a comment
1	J13	NA	this is a comment
1	K13	NA	this is a comment
1	L13	NA	this is a comment
1	M13	NA	this is a comment
1	N13	NA	this is a comment
1	O13	NA	this is a comment
1	P13	NA	this is a comment
1	A14	NA	this is a comment
1	B14	NA	this is a comment
1	C14	NA	this is a comment
1	D14	NA	this is a comment
1	E14	NA	this is a comment
1	F14	NA	this is a comment
1	G14	NA	this is a comment
1	H14	NA	this is a comment
1	I14	NA	this is a comment
1	J14	NA	this is a comment
1	K14	NA	this is a comment
1	L14	NA	this is a comment
1	M14	NA	this is a comment
1	N14	NA	this is a comment
1	O14	NA	this is a comment
1	P14	NA	this is a comment
1	A15	NA	this is a comment
1	B15	NA	this is a comment
1	C15	NA	this is a comment
1	D15	NA	this is a comment
1	E15	NA	this is a comment
1	F15	NA	this is a comment
1	G15	NA	this is a comment
1	H15	NA	this is a comment
1	I15	NA	this is a comment
1	J15	NA	this is a comment
1	K15	NA	this is a comment
1	L15	NA	this is a comment
1	M15	NA	this is a comment
1	N15	NA	this is a comment
1	O15	NA	this is a comment
1	P15	NA	this is a comment
1	A16	NA	this is a comment
1	B16	NA	this is a comment
1	C16	NA	this is a comment
1	D16	NA	this is a comment
1	E16	NA	this is a comment
1	F16	NA	this is a comment
1	G16	NA	this is a comment
1	H16	NA	this is a comment
1	I16	NA	this is a comment
1	J16	NA	this is a comment
1	K16	NA	this is a comment
1	L16	NA	this is a comment
1	M16	NA	this is a comment
1	N16	NA	this is a comment
1	O16	NA	this is a comment
1	P16	NA	this is a comment
1	A17	NA	this is a comment
1	B17	NA	this is a comment
1	C17	NA	this is a comment
1	D17	NA	this is a comment
1	E17	NA	this is a comment
1	F17	NA	this is a comment
1	G17	NA	this is a comment
1	H17	NA	this is a comment
1	I17	NA	this is a comment
1	J17	NA	this is a comment
1	K17	NA	this is a comment
1	L17	NA	this is a comment
1	M17	NA	this is a comment
