cell_line	RB1_5925_ENSG00000139687	CDKN2A_1029_ENSG00000147889	CCND1_595_ENSG00000110092	CDK4_1019_ENSG00000135446	CDK6_1021_ENSG00000105810
CAL72_BONE	0	1	0	0	0
G292_BONE	0	0	1	1	0
NOS1_BONE	0	0	0	0	0
NY_BONE	1	0	0	0	0
HUO3N1_BONE	1	0	0	0	0
MG63_BONE	0	1	0	0	0
HOS_BONE	0	1	1	0	0
U2OS_BONE	0	0	0	0	0
SAOS2_BONE	1	0	0	0	0
HUO9_BONE	1	0	0	0	0
143B_BONE	0	1	1	0	0
TOV21G_OVARY	0	0	0	0	0
RMGI_OVARY	0	1	0	0	0
OVMANA_OVARY	0	0	0	0	0
ES2_OVARY	0	0	1	1	0
OVISE_OVARY	0	0	0	0	0
OVTOKO_OVARY	0	1	0	0	0
TE11_OESOPHAGUS	0	1	1	0	0
SKLMS1_SOFT_TISSUE	0	1	0	0	0
TE8_OESOPHAGUS	0	1	1	0	0
MDAMB231_BREAST	0	1	0	0	0
H358_LUNG	0	0	0	0	0
DU4475_BREAST	1	0	0	0	0
BT20_BREAST	0	1	0	0	0
SIHA_CERVICAL	0	0	0	0	0
ESO26_OESOPHAGUS	0	0	0	0	0
MESSA_SOFT_TISSUE	0	1	0	0	0
H1793_LUNG	0	1	0	0	0
BXPC3_PANCREAS	0	1	0	0	0
A427_LUNG	0	1	0	0	0
HOP62_LUNG	0	1	0	0	0
SW982_SOFT_TISSUE	0	1	0	0	0
SW684_SOFT_TISSUE	0	1	0	0	0
MDAMB468_BREAST	1	0	0	0	0
CASKI_CERVICAL	0	0	0	0	0
H1299_LUNG	0	0	0	0	0
MFE296_ENDOMETRIUM	0	0	0	0	0
A204_SOFT_TISSUE	0	0	0	0	0
FLO1_OESOPHAGUS	0	0	0	0	0
OACP4C_OESOPHAGUS	0	1	0	0	0
KNS42_CENTRAL_NERVOUS_SYSTEM	0	0	0	0	1
SW872_SOFT_TISSUE	0	1	0	0	0
OE33_OESOPHAGUS	0	1	0	0	1
ZR7530_BREAST	0	0	0	0	0
SKUT1_SOFT_TISSUE	1	0	0	0	0
MDAMB157_BREAST	0	0	0	0	0
CAMA1_BREAST	0	0	1	0	0
HCC202_BREAST	0	0	0	0	0
OAW42_OVARY	0	0	0	0	0
C33A_CERVICAL	1	0	0	0	0
SJSA1_BONE	0	0	1	1	0
T47D_BREAST	0	0	0	0	0
SKOV3_OVARY	0	1	0	0	0
H1975_LUNG	1	1	1	0	0
HCC70_BREAST	0	0	0	0	0
PCI30_HEADNECK	0	0	0	0	0
H292_LUNG	0	1	0	0	0
RD_SOFT_TISSUE	1	1	0	0	1
TE5_OESOPHAGUS	0	1	0	0	1
SKES1_BONE	0	1	0	0	0
MCF7_BREAST	0	1	0	0	0
H2228_LUNG	1	1	0	0	0
TE6_OESOPHAGUS	0	1	1	0	0
CAL120_BREAST	0	0	0	1	0
MFM223_BREAST	0	0	1	0	0
TOV112D_OVARY	0	0	0	0	0
TE9_OESOPHAGUS	0	1	1	0	0
OV90_OVARY	0	1	0	0	0
HPAC_PANCREAS	0	1	0	0	0
HT1080_SOFT_TISSUE	0	1	0	0	0
BT474_BREAST	0	1	1	0	0
HCC1954_BREAST	0	0	1	0	0
A549_LUNG	0	1	0	0	0
MDAMB453_BREAST	0	0	1	0	0
OE19_OESOPHAGUS	0	0	1	0	0
H2342_LUNG	0	1	0	1	1
CAL51_BREAST	0	0	0	0	0
HELA_CERVICAL	0	0	0	0	0
H727_LUNG	0	1	0	0	0
OV56_OVARY	0	0	0	0	0
BEN_LUNG	0	0	0	0	0
TE1_OESOPHAGUS	1	1	0	0	0
CAOV3_OVARY	0	0	0	0	0
SKGT4_OESOPHAGUS	0	1	0	0	0
BT549_BREAST	1	0	0	0	0
ASPC1_PANCREAS	0	1	0	0	1
H1650_LUNG	0	1	0	0	0
TE10_OESOPHAGUS	0	1	1	0	0
H460_LUNG	0	1	0	0	0
HCC2218_BREAST	0	0	0	0	0
H23_LUNG	0	1	1	0	0
MIAPACA2_PANCREAS	0	1	0	0	0
KYSE70_OESOPHAGUS	0	1	0	0	0
KYAE1_OESOPHAGUS	0	0	0	0	0
HCC1143_BREAST	0	1	1	0	0
MDAMB436_BREAST	0	0	0	0	0
HS578T_BREAST	0	1	0	0	0
MDAMB361_BREAST	0	1	1	0	0
COLO824_BREAST	1	0	0	0	0
C2BBE1_LARGE_INTESTINE	0	0	0	0	0
PANC0403_PANCREAS	0	0	0	0	0
HUTU80_SMALL_INTESTINE	0	1	0	0	0
VMRCLCD_LUNG	0	1	0	1	0
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0	0	0
PANC0813_PANCREAS	0	1	0	0	0
H2029_LUNG	0	0	0	0	0
SKMEL24_SKIN	0	1	0	0	0
MELJUSO_SKIN	0	1	0	0	0
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	0	1	1	0	1
NB1_AUTONOMIC_GANGLIA	0	0	0	0	0
H2087_LUNG	0	0	0	1	0
EFO21_OVARY	1	0	0	0	0
CORL95_LUNG	0	0	0	0	0
ACHN_KIDNEY	0	1	0	0	1
