marker	target	nA	nB	med.grpA	med.grpB	min.grpA	min.grpB	cles	wilcox.p	wilcox_fdr
RB1_5925_ENSG00000139687	AAK1_ENSG00000115977	4	8	-0.51	-0.695	-1.94	-2.22	0.5	0.533333333333333	0.95015912763432
RB1_5925_ENSG00000139687	AATK_ENSG00000181409	4	8	0.39	-0.18	-0.52	-1.94	0.3125	0.858585858585859	1
RB1_5925_ENSG00000139687	ABL1_ENSG00000097007	4	8	-0.575	-0.315	-0.67	-1.59	0.71875	0.141414141414141	0.738802660753878
RB1_5925_ENSG00000139687	ABL2_ENSG00000143322	4	8	-0.535	-0.22	-0.8	-1.7	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	ACVR1_ENSG00000115170	4	8	0.665	0.315	-0.42	-1.81	0.25	0.925937161449478	1
RB1_5925_ENSG00000139687	ACVR1B_ENSG00000135503	4	8	-0.075	-0.49	-0.49	-1.24	0.34375	0.816161616161616	1
RB1_5925_ENSG00000139687	ACVR1C_ENSG00000123612	4	8	0.755	0.475	0.1	-0.1	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	ACVR2A_ENSG00000121989	4	8	0.225	0.84	0.03	0.07	0.75	0.100969900846986	0.728080808080808
RB1_5925_ENSG00000139687	ACVR2B_ENSG00000114739	4	8	-1.21	-1.25	-3.5	-3.18	0.46875	0.595959595959596	0.988279840108938
RB1_5925_ENSG00000139687	ACVRL1_ENSG00000139567	4	8	-0.96	-0.545	-1.74	-2.7	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	ADCK1_ENSG00000063761	4	8	0.94	-0.08	0.58	-1.29	0.03125	0.99587663105007	1
RB1_5925_ENSG00000139687	ADCK2_ENSG00000133597	4	8	0.025	-0.62	-1.1	-1.19	0.375	0.76969696969697	1
RB1_5925_ENSG00000139687	ADCK4_ENSG00000123815	4	8	0.9	0.57	0.56	-0.09	0.21875	0.946987750360468	1
RB1_5925_ENSG00000139687	ADCK5_ENSG00000261694	4	8	0.405	0.74	-0.05	-1.33	0.59375	0.341414141414141	0.852341597796142
RB1_5925_ENSG00000139687	ADK_ENSG00000156110	4	8	-0.14	0.095	-0.63	-0.53	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	ADPGK_ENSG00000159322	4	8	-0.98	-1.635	-1.59	-2.93	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	ADRBK1_ENSG00000173020	4	8	-1.42	-0.87	-2.15	-2.13	0.75	0.100969900846986	0.728080808080808
RB1_5925_ENSG00000139687	ADRBK2_ENSG00000100077	4	8	1.63	1.015	1.19	0.58	0.15625	0.974802831393524	1
RB1_5925_ENSG00000139687	MAGI2_ENSG00000187391	4	8	-0.325	-0.175	-0.71	-0.76	0.6875	0.174696855744921	0.763143058491896
RB1_5925_ENSG00000139687	AK1_ENSG00000106992	4	8	-0.605	-1.34	-0.82	-1.8	0.21875	0.945454545454545	1
RB1_5925_ENSG00000139687	RP4.592A1.2_ENSG00000185839	4	8	-0.055	-0.495	-1.03	-1.57	0.40625	0.715151515151515	1
RB1_5925_ENSG00000139687	AK4_ENSG00000162433	4	8	0.17	-0.265	0.04	-1.15	0.28125	0.892929292929293	1
RB1_5925_ENSG00000139687	AK3_ENSG00000147853	4	8	-0.44	0.265	-0.84	-1.57	0.65625	0.23030303030303	0.785524030110016
RB1_5925_ENSG00000139687	AK5_ENSG00000154027	4	8	1.12	0.685	0.07	-0.38	0.28125	0.892929292929293	1
